あっこん,圧痕,悪根
あっしゅくき,圧縮器,圧縮機
あっせい,圧制,圧成,圧政
あっせつ,圧接,圧雪
あっせんちょうしょ,あっせん調書,斡旋調書
あったらもの,可惜物,可惜者
あつい,厚い,暑い,熱い
あつまる,集まる,集る
あつもの,厚物,羹
あと,後,痕,趾,跡,阿堵
あとあし,後肢,後脚,後足
あとがき,後書き,跡書
あとつぎ,後継,跡継ぎ
あとやく,後厄,後役
あな,孔,穴,竅
あによめ,兄嫁,嫂
あね,姉,嫂
あぶら,油,脂,膏
あぶらいり,油入り,油熬り
あぶりだし,炙り出し,焙り出し
あま,亜麻,天,安摩,尼,海女,阿媽,阿瑪,雨
あまい,甘い,雨衣
あまえなき,甘え泣き,甘え鳴き
あまかわ,甘皮,雨皮
あまがさ,雨傘,雨笠
あまがみ,甘噛み,雨神
あまくだる,天下る,天降る
あまだれ,甘だれ,雨垂れ
あまに,亜麻仁,甘煮
あまのがわ,天の川,天漢
あまみ,甘み,甘味
あまよけ,雨よけ,雨避け,雨除け
あまり,余,余り
あまりもの,余り物,余り者
あみ,糠蝦,網,編み,阿弥
あみいと,網糸,編み糸
あみかけ,網掛け,編み掛け
あみじ,網地,編地
あみぶくろ,網袋,編み袋
あみりょう,網漁,網猟
あめ,天,雨,飴
あやまらす,誤らす,謝らす
あやまる,誤る,謝る
あやめ,文目,菖蒲
あやめか,アヤメ科,菖蒲科
あゆ,阿諛,鮎
あら,粗,荒
あらい,洗い,粗い,荒い
あらがう,争う,抗う
あらき,新木,荒木,阿刺吉
あらし,嵐,荒らし
あらしお,粗塩,荒潮
あらたま,荒玉,荒魂
あらびきくろこしょう,あらびき黒こしょう,あらびき黒胡椒,粗びき黒こしょう,粗びき黒胡椒,粗挽き黒こしょう,粗挽き黒コショウ,粗挽き黒胡椒
あらまき,新巻,荒巻
あらめ,荒布,荒目
あらもの,新物,荒物
あらわす,洗わす,現す,著す,表す
あらわれ,現れ,表れ
あらわれる,現れる,表れる
あり,有り,蟻
ありあわせ,有り合わせ,あり合せ
ありてい,有り体,有体
あれ,荒れ,阿礼
あわ,泡,粟
あわい,淡い,間
あわす,会わす,合わす
あわだつ,泡立つ,粟立つ
あわつぶ,泡粒,粟粒
あわび,鮑,鰒
あん,安,按,暗,案,閹,餡
あんい,安位,安慰
あんか,案下,行火
あんき,安企,安危,暗期,暗祈,暗記,暗鬼
あんきょ,安居,暗渠,暗虚
あんけつ,暗穴,暗血
あんけん,暗剣,案件
あんこう,安康,暗光,暗紅,暗香,鮟鱇
あんこく,安国,暗黒
あんご,安居,暗語
あんごう,庵号,暗号,暗合
あんざん,安山,安産,暗算
あんし,暗紫,暗視
あんしつ,庵室,暗室
あんしゅ,庵主,暗主,按手
あんしょう,暗唱,暗礁,暗証,鞍傷
あんしん,安心,闇神
あんじゅう,安住,庵住
あんじょう,安祥,暗条,鞍上
あんず,杏,杏子
あんぜん,安全,安禅
あんたい,安泰,暗帯
あんち,安置,按地
あんてい,安定,案定
あんていき,安定器,安定期
あんてん,暗点,暗転,鞍点
あんとう,暗闘,案頭
あんない,安内,案内
あんぶ,安撫,暗部,鞍部
あんぶん,安分,案分,案文
あんぷ,暗夫,暗譜
あんみん,安民,安眠,晏眠
あんや,暗夜,闇夜
い,五,井,亥,伊,医,威,居,意,潙,為,異,胃,萎,藺,衣,違
いあい,居合,遺愛
いい,以夷,依倚,良い,謂,飯
いいなずけ,許婚,許嫁
いいん,医員,医院,委員
いえい,伊英,遺影,遺詠
いえき,移易,胃液
いえじ,家地,家路
いえつ,怡悦,慰悦
いえなみ,家並,家並み
いえん,以遠,胃炎
いおう,以奥,以往,硫黄,遺王
いおり,庵,廬
いおん,異音,遺音
いか,以下,凧,医家,医科,如何,烏賊,異化
いかい,位階,医界,厳い,異界,異解,遺戒,遺灰
いかがく,医化学,医科学
いかく,位格,囲郭,威嚇,胃角
いかけ,沃懸け,鋳掛け
いかす,生かす,行かす
いかめしい,厳しい,厳めしい
いかり,怒り,錨
いかる,埋かる,怒る,斑鳩,生かる
いかん,位冠,位官,偉観,偉鑑,医官,如何,尉官,異汗,異観,移換,移監,移管,移貫,維管,胃官,胃管,衣冠,遺簡
いが,毬,衣蛾
いがい,以外,貽貝,遺骸
いがく,医学,異学,胃学
いがっ,医学,異学
いがむ,啀む,歪む
いがん,依願,胃癌
いき,位記,偉器,域,委棄,彝器,息,意企,意気,生き,畏忌,異記,粋,胃気,行き,遺棄,閾
いきかえり,生き返り,行き帰り
いきがい,域外,生き甲斐
いきち,生き血,閾値
いきみ,息み,生き身
いきょ,依拠,異居,移居
いきょう,異境,異教,異郷,異香,違境,遺響
いきょく,医局,委曲,異曲,異極
いきりょう,生き霊,生霊
いきる,熱る,生きる
いぎ,威儀,居木,意義,異義,異議
いぎょう,偉業,医業,意行,易行,異形,異業,遺業
いく,幾,意気,異口,行く,逝く,遺句
いくじ,育児,意気地
いくぶん,幾分,郁文
いくん,偉勲,遺勲,遺訓
いぐさか,イグサ科,藺草科
いぐち,兎唇,猪口
いけい,畏敬,異景,胃経
いけうお,活け魚,活魚
いけづくり,池作り,生け作り
いけどり,生け捕り,生擒
いけん,意拳,意見,異見,移建,違憲,遺賢
いげん,医原,威厳,異言,遺言
いこう,以降,偉功,偉効,囲口,威光,意向,憩う,異校,異香,移行,移項,衣桁,衣香,遺構,遺稿,遺講
いご,以後,囲碁
いさい,偉才,委細,異彩,移祭
いさめ,居寤,諫め
いさん,伊飡,彙纂,胃散,胃酸,違算,遺産
いざ,伊邪,椅座
いざい,偉材,異材
いし,倚子,医師,威示,意志,意思,石,移祀,縊死,遺址,遺子,遺志,遺矢,頤使,異翅
いしがま,石窯,石釜,石鎌
いしき,意識,違式
いしこ,石子,石粉
いしつ,異質,痿疾,遺失
いしばし,石橋,石階
いしぶみ,石文,碑
いしゃ,倚藉,医者,慰謝
いしゅ,意趣,異株,異種,縊首,鋳手
いしゅう,異執,異臭,維修,蝟集,遺習
いしゅく,胃宿,萎縮
いしょ,位署,医書,異所,移書,遺書
いしょう,囲障,意匠,意象,異称,衣装,遺詔
いしょく,依嘱,医食,委嘱,異食,移植,移殖,衣食,遺嘱
いしん,以心,以深,医心,医診,威信,威神,惟神,異心,異神,移審,維新,遺臣
いじ,倚辞,医事,医士,医治,意地,意字,異字,異時,維持,遺事,遺児
いじくる,弄くる,弄る
いじゅう,異獣,移住
いじょう,以上,偉城,囲城,囲繞,夷場,委譲,異常,異状,移乗,移城,移譲,遺状
いじん,偉人,夷人,異人,移陣
いすう,位数,異数
いする,医する,委する,慰する
いせい,以西,医制,医聖,威勢,為政,異姓,異性,異星,移棲,遺制,遺精
いせき,井堰,偉蹟,医籍,移籍,遺跡
いせつ,医説,異説,移設,異節
いせん,以浅,医専,夷船,移遷,緯線,胃腺
いぜん,以前,已然,怡然
いそう,位相,意想,異相,異装,移相,移葬,移送
いそまつか,イソマツ科,磯松科
いそん,依存,易損
いぞく,夷賊,彝族,異俗,異賊,遺族
いぞん,依存,異存,遺存
いたい,異体,痛い,胃体,衣帯,遺体
いたく,依託,委託,遺沢,遺託
いたち,居立ち,鼬
いたどり,板取り,虎杖
いたみ,傷み,悼み,痛み
いたむ,悼む,痛む
いため,板目,炒め
いためる,撓める,炒める,痛める
いたるところ,至る所,到る所
いたん,畏憚,異端
いだい,医大,為大
いだく,懐く,抱く
いち,一,位地,位置,夷地,市
いちい,一尉,一意,一葦
いちいん,一員,一因
いちぎ,一義,一議
いちぐう,一遇,一隅
いちぐん,一群,一軍
いちげん,一元,一見,一言
いちご,一期,苺
いちざ,一座,市座
いちじ,一事,一時
いちじゅん,一巡,一旬
いちじょう,一場,一条
いちぞく,一族,一簇
いちだん,一団,一段
いちどう,一動,一同,一堂,一道
いちどく,一毒,一読
いちべつ,一別,一瞥
いちぼう,一望,一眸
いちまつ,一抹,市松
いちめい,一名,一命
いちもつ,一物,逸物
いちや,一夜,市屋
いちゅう,意中,移駐
いちゆう,一憂,一揖
いちょう,医長,帷帳,異朝,移庁,移牒,移調,胃腸,萎凋,銀杏
いちり,一利,一理
いちりつ,一律,市立
いちりょう,一両,一竜
いちるい,一塁,一類
いちれん,一蓮,一連
いっか,一下,一家,一過
いっかい,一介,一塊
いっかく,一攫,一画,一角,一郭,一鶴
いっかつ,一喝,一括
いっかつせいさん,一括清算,一括精算
いっかん,一巻,一環,一貫
いっき,一喜,一季,一揆,一気,一簣,一騎,逸機
いっきうち,一騎打ち,一騎討ち
いっきょ,一去,一挙
いっきょう,一興,一驚,逸興
いっけい,一系,一計
いっけつ,一決,溢血
いっこ,一己,一枯,一顧
いっこう,一考,一行
いっさい,一再,一切,一妻
いっさく,一昨,一策
いっさつ,一札,一殺,一颯
いっさん,一盞,逸散
いっし,一士,一弛,一指,一枝,一矢,一糸,一視,逸史,一死
いっしつ,一室,逸失
いっしゅつ,溢出,逸出
いっしょ,一所,一生,一緒,逸書
いっしょう,一将,一生,一笑
いっしょく,一色,一触
いっしん,一心,一新,一神,一身,一進
いっすい,一水,一炊,一睡,溢水
いっせい,一世,一声,一斉
いっせき,一夕,一席,一石
いっせつ,一殺,一節,一説
いっせん,一戦,一線,一閃
いっそう,一掃,一曹,一草,一走,逸走
いっそく,一足,逸足
いったい,一体,一帯,一退,一隊
いったん,一短,一端
いっち,一知,一致
いっちゅう,一中,一籌
いっちょう,一丁,一張,一朝,一聴,一長
いってん,一天,一点,一転
いっとう,一党,一搨,一統
いっとうせい,一党制,一等星
いっぱい,一杯,一廃
いっぱん,一半,一斑,一般
いっぱんけんしん,一般健診,一般検診
いっぱんしゃ,一般者,一般車
いっぱんのかふ,一般の寡夫,一般の寡婦
いっぴん,一品,一顰,逸品
いっぷ,一夫,一婦
いっぷう,一封,一風
いっぷく,一服,一腹
いっぺん,一変,一遍
いっぽう,一報,一方,一法
いつ,一,五,佚,稜威
いつえぎぬ,五衣,五重衣
いつき,斎,斎槻
いつくしむ,愛しむ,慈しむ
いつごろ,いつ頃,何時頃
いつぶん,逸文,逸聞
いでん,位田,囲田,異伝,遺伝
いと,意図,異図,異都,糸
いとう,以東,伊富魚,厭う
いとおしむ,愛おしむ,愛しむ
いとく,偉徳,威徳,懿徳,遺徳
いとぐち,糸口,緒
いとけない,幼い,幼けない
いとこ,従兄,従兄弟,従姉妹
いど,井戸,威怒,易怒,異土,緯度
いどう,医道,異動,異同,移動
いどうさき,異動先,移動先
いどうじょうほう,異動情報,移動情報
